clin,unspc_code,manufacturer_part_number,manufacturer,sku,name,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,long_category,simple_category,top_level_category
1011b,,,DELL,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,"4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics, DVD+/- RW, 500GB SATA
7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year
Next Business Day On-Site Warranty",EACH,1,"$1,013.71",$446.03,56%,Standard Desktop Hardware,Standard,Desktops
102d,,,DELL,210-AFXL,Dell Optiplex 3040 MT,"Core i5-6500, 3.20GHz,
4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics 530, DVD+/- RW, 500GB SATA
7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year
Next Business Day On-Site Warranty",EACH,1,"$1,013.71",$446.03,56%,Standard Desktop Hardware,Standard,Desktops
106a,,,DELL,210-AFXJ,Dell Optiplex 3040 Micro,"Core i5-6500T, 2.5GHz,
4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics 530, 500GB SATA 7200rpm,
USB Optical Wheel Mouse, USB Keyboard, 3-Year Next
Business Day On-Site Warranty",EACH,1,$930.43,$409.39,56%,Standard Desktop Hardware,Standard,Desktops
200c,,,DELL,210-AFIF,Dell Optiplex 5040 SFF,"Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,295.86",$570.18,56%,Power Desktop Hardware,Standard,Desktops
202c,,,DELL,210-AFID,Dell Optiplex 5040 MT,"Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,315.86",$578.98,56%,Standard Desktop Hardware,Standard,Desktops
,,,DELL,210-ACQM,Dell Precision T5810,"Four Core E5-1607 v3
(4C, 3.1GHz, 10M, 140W), 16GB DDR4 RDIMM 2133MHz,
Windows 7 Po, SP1, 64-bit, NVIDIA® Quadro® K620 2GB (DP,
DL-DVI-I) (1 DP to SL-DVI adapter), 16X DVD+/-RW Drive,
900GB 2.5"" SAS (10,000 RPM), USB Optical Wheel Mouse,
USB Keyboard, 3- Year Next Business Day On-Site Warranty",EACH,1,"$2,803.33","$1,233.47",56%,Workstation Hardware,Workstation,Desktops
400a,,,DELL,909686-51L,Dell Wyse Z90D7,"Dual Core 1.65GHz, 2GB
1600MHz DDR3, Windows Embedded Std 7, USB Keyboard,
PS/2 Optical Mouse, 3-Year Limited Hardware Warranty on-site",EACH,1,$679.00,$298.76,56%,Thin Client Hardware,Thin Client,Desktops
430a,,,DELL,210-AFGK,Dell Optiplex 7040 SFF,"Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR4, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,354.43",$595.95,56%,Power Desktop Hardware,Standard,Desktops
,,,DELL,370-ACLY,Dell 8GB DDR3L Memory,"8GB (1x8GB), 1600MHz DDR3L Memory",EACH,1,$130.00,$88.40,32%,Upgrades,Memory,Components
1003c,,,DELL,490-BCYL,AMD Radeon R5 340X,2GB DP/DVI-I,EACH,1,$110.00,$74.80,32%,"Standard Desktop Options
Upgrades",Video Cards,Components
1005b,,,DELL,400-AIOY,"Dell 1TB 3.5"" HDD",3.5 1TB 7200rpm HDD,EACH,1,$130.00,$88.40,32%,"Standard Desktop Options
Upgrades",Storage Devices,Components
1006b,,,DELL,"470-ABLQ, 555-
BCMT",Intel® Dual Band Wireless 8260,(802.11ac) + Bluetooth,EACH,1,$53.00,$36.04,32%,"Standard Desktop Options
Upgrades",Networking,Components
1007b,,,DELL,429-AAVN,Dell 8x DVD-ROM,8x DVD-ROM 9.5mm Optical Disk Drive,EACH,1,$40.00,$27.20,32%,"Standard Desktop Options
Upgrades",Storage Devices,Components
1008a,,,DELL,A4051228,Dell Comfort Wave Keyboard,Comfort wave Ergonomic keyboard,EACH,1,$79.99,$54.39,32%,"Standard Desktop Options
Upgrades",Keyboards & Mice,Peripherals
1009b,,,DELL,A7055994,Dell Performance Ergonomic Mouse,Performance Ergonomic mouse mx,EACH,1,$99.99,$67.99,32%,"Standard Desktop Options
Upgrades",Keyboards & Mice,Peripherals
,,,DELL,A6024088,Dell Wireless Mouse,Wireless mouse M525,EACH,1,$39.99,$27.19,32%,Upgrades,Keyboards & Mice,Peripherals
1012b,,,DELL,A5950984,Jabra UC Voice 150,UC Voice 150 USB Duo. Headband INL,EACH,1,$33.99,$23.11,32%,"Standard Desktop Options
Upgrades",Headsets Microphones & Speakers,Peripherals
1013a,,,DELL,313-7362,Dell AX210 Stereo Speakers,"AX210 USB Stereo Speakers WW, I/S/X DT C",EACH,1,$19.99,$13.59,32%,"Standard Desktop Options
Upgrades",Headsets Microphones & Speakers,Peripherals
1014c,,,DELL,A3881047,Logitech Stereo Headset,H110 2 Stereo Headset,EACH,1,$14.99,$10.19,32%,"Standard Desktop Options
Upgrades",Headsets Microphones & Speakers,Peripherals
1015a,,,DELL,A3793590,DVI-D M/M Dual Link Digital Video Cable 6',6 ft DVI-D Single Link Digital Video Monitor Cable w/ Audio,EACH,1,$12.99,$8.83,32%,"Standard Desktop Options
Upgrades",Cables & Adapters,Peripherals
1016b,,,DELL,470-AANH,DisplayPort to DVI 6.5',DisplayPort 1.1 Male to DVI-D Male Black Cable - 6.5 ft,EACH,1,$24.99,$16.99,32%,"Standard Desktop Options
Upgrades",Cables & Adapters,Peripherals
1017b,,,DELL,470-AANW,DiplayPort to DVI (Dual-Link),"The Dell™ DisplayPort to DVI (Dual-Link) adapter lets you to take video content from your laptop or desktop and display it on any monitor, projector or HDTV featuring a DVI (Dual-Link) input.",EACH,1,$139.99,$95.19,32%,"Standard Desktop Options
Upgrades",Cables & Adapters,Peripherals
1019c,,,DELL,370-ACMQ,Dell 16GB DDR3L Memory,"16GB (2x8GB), 1600MHz DDR3L Memory (5040)",EACH,1,$260.00,$176.80,32%,"Power Desktop Options
Upgrades",Memory,Components
1020c,,,DELL,490-BCPG,AMD Radeon R5 340X,2GB DP/DVI-I,EACH,1,$110.00,$74.80,32%,"Power Desktop Options
Upgrades",Video Cards,Components
1021c,,,DELL,490-BCPF,AMD Radeon R7 350X,"4GB, HH (DP SL-DVI-I)",EACH,1,$180.00,$122.40,32%,"Power Desktop Options
Upgrades",Video Cards,Components
1022c,,,DELL,400-AIOY,"Dell 1TB 3.5"" HDD",3.5 inch 1TB 7200rpm Hard Disk Drive,EACH,1,$130.00,$88.40,32%,"Power Desktop Options
Upgrades",Storage Devices,Components
1023c,,,DELL,400-AIRX,Dell 128GB SSD (SATA),128GB SATA Solid State Drive,EACH,1,$200.00,$136.00,32%,"Power Desktop Options
Upgrades",Storage Devices,Components
1024c,,,DELL,400-AIRY,Dell 256GB SSD (PCIe),256GB PCIe Solid State Drive,EACH,1,$400.00,$272.00,32%,"Power Desktop Options
Upgrades",Storage Devices,Components
